Frequency (Hz),Trace 1 (V),Phase (deg),Trace 2 (V),Phase (deg)
0,0.0004371790043751282,0,0.0008332573018866595,0
1.586977541601664,0.0004240617381786907,1.824411284382274,0.0008179066074721322,2.521006193184809
3.173955083203328,0.0002910667661508491,1.381878250265863,0.0005578769123092318,5.129696193083221
4.760932624804992,0.0001049947355364596,4.714511586491064,0.000177486176078036,17.0453726038751
6.347910166406656,4.059682427965879e-05,44.02927925465899,6.021688307541341e-05,60.61696054453802
7.93488770800832,3.816423138820279e-05,66.32572301787968,5.018720667979163e-05,58.71766820889372
9.521865249609984,3.330301429512675e-05,78.5887987275554,3.139439626768429e-05,70.15338636699076
11.10884279121165,3.578465178577345e-05,95.63553521806438,2.664981262455194e-05,100.340743393044
12.69582033281331,2.678847096363655e-05,117.0161009320612,2.562117430146691e-05,113.6496096973842
14.28279787441498,7.003378074563983e-06,101.0835131068083,1.568655250587014e-05,124.4321300755177
15.86977541601664,2.56556932397925e-05,5.9306944905575,6.923594730519286e-06,142.875275149382
17.45675295761831,3.976371698907258e-05,179.4048517030666,1.364677080927452e-05,41.95190132916607
19.04373049921997,3.280099994892528e-05,10.70918540095844,2.858791721993745e-05,46.95915102072389
20.63070804082163,1.803899269771379e-05,70.8607453592991,3.660053554193743e-05,41.43132708969514
22.2176855824233,4.428487644684866e-05,164.7502551840321,5.129929058565106e-05,43.79554511365966
23.80466312402496,8.865104185236778e-05,176.535162399926,6.220232388921737e-05,43.97780514183015
25.39164066562662,9.537743459188374e-05,176.3403628478871,5.907529867325879e-05,39.06151367389928
26.97861820722829,7.089393427199763e-05,176.286781263005,5.882722085745261e-05,41.49617436810124
28.56559574882995,4.623094609827756e-05,171.081954420577,5.626233044895756e-05,52.93639971811396
30.15257329043162,3.550793306658404e-05,144.4588812320359,4.101502686947401e-05,68.45533337694529
31.73955083203328,3.650941695170313e-05,116.0128822740599,2.843758216229013e-05,92.37446207174382
33.32652837363494,3.82150894407104e-05,115.6741168619606,1.738181003962224e-05,122.744143203956
