Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (deg)
1000,0.9954374687765006,0.06845424492648043,85.05314459495544
1015.46899243308,0.9954375622669102,0.06986632790847973,84.9674131260751
1031.177274593055,0.9954297480706091,0.07131316266778345,84.8572499104626
1047.1285480509,0.9954376614534459,0.07277706309509564,84.75926573750279
1063.326571637161,0.9954376609412572,0.07432666017845228,84.66674346123091
1079.77516232771,0.9954327879060462,0.07589263870975117,84.59238277622177
1096.478196143185,0.995431378554856,0.07747063398309351,84.46885094141716
1113.439609062361,0.9954749433861108,0.07915711332391384,84.34732429882106
1130.663397949639,0.99542831078301,0.08082465603023738,84.22396953027464
1148.153621496883,0.9954713185563813,0.08258857300935665,84.11945787815543
1165.914401179832,0.9954509703744643,0.08444327492378742,84.00495289031255
1183.949922229302,0.9953879590668786,0.0863190589128892,83.87948118177613
1202.264434617413,0.9954816412108963,0.08827110508093648,83.74152350141217
1220.862254059071,0.9953970308079537,0.09030514285034685,83.61019505489612
1239.747763028945,0.9954805717897204,0.0923970419558223,83.46271163381151
1258.925411794167,0.995518430995437,0.0945859632724739,83.32237972864189
1278.399719463024,0.9955065154813075,0.09684706406075196,83.18250051354568
1298.175275049849,0.9955015711358289,0.09915720323553558,83.02416693327521
1318.256738556407,0.9955601593437035,0.1015728753764103,82.86458382949232
1338.648842069993,0.9954997823606117,0.1041100325111477,82.69669543330055
1359.356390878526,0.9955058711508628,0.1068056993157815,82.51025168501246
1380.384264602885,0.9955322644056043,0.1095582110652695,82.32556533562628
1401.73741834677,0.995560888679126,0.1124414316286592,82.13057856373628
1423.420883864342,0.9955505298478914,0.115445308234786,81.92508369579474
1445.439770745928,0.9955790151292261,0.1186539914749701,81.70698472094537
1467.799267622069,0.9955584931016935,0.1219149753598398,81.48947921723936
1490.504643386196,0.9956456674994126,0.1253623007217635,81.25400815790228
1513.561248436208,0.9956387577581715,0.1289850413981571,80.99645118281398
1536.974515935271,0.9956856202281789,0.1328416769370401,80.73354734473182
1560.749963092112,0.9956118528784083,0.1368674898943105,80.46021454287272
1584.893192461113,0.9956527229844259,0.141104475589051,80.15738234755872
1609.409893262535,0.9956204585879874,0.145558538040183,79.85628653556154
1634.305842723138,0.9956786889526554,0.1503331622356197,79.51867530278632
1659.586907437561,0.9956225439475993,0.1553957087482424,79.16296435018637
1685.259044750751,0.9956749354447332,0.1607866068339515,78.78646296483691
1711.328304161781,0.9956944819443632,0.1664902598421397,78.38332127575812
1737.800828749375,0.9956737229501867,0.1726332712830362,77.93716012365471
1764.6828566195,0.9956959648482064,0.1791469123737665,77.47355893882761
1791.980722375334,0.9956676745704942,0.1861874588659876,76.95710221005079
1819.700858609984,0.9957126853242086,0.1937423795763056,76.39744544076154
1847.849797422291,0.9957052560583847,0.2019358815566935,75.79037519817847
1876.434171956085,0.9957682145065321,0.2107985273290586,75.13499710271384
1905.460717963247,0.9957824119450522,0.2204324830652092,74.41628117166943
1934.936275390952,0.9957577953417859,0.2309823236034505,73.61171195569491
1964.867789993467,0.9957907255277619,0.2425906560655175,72.71346811627282
1995.26231496888,0.9957645476494341,0.2553763155052149,71.69783005302918
2026.127012621143,0.9958080037311752,0.2695945558021448,70.59001086449422
2057.46915604784,0.9957309129237003,0.2854286171676955,69.31020239149777
2089.29613085404,0.9957942781184222,0.3032302497202867,67.8404158650517
2121.615436892685,0.995837772782904,0.3233572150354646,66.14148788346648
2154.434690031883,0.9957696318595818,0.3462646823016281,64.14212481400722
