Frequency (Hz),Trace 2 (V),Phase (deg)
0,0.2812269330086025,0
1.586977541601664,0.2713697048622845,0.01799243846373462
3.173955083203328,0.1813343397568461,0.03765737203698764
4.760932624804992,0.05449712935647082,0.07136306216759598
6.347910166406656,0.003915786286048292,0.5233131846949459
7.93488770800832,1.966972963201097e-05,79.33727364018232
9.521865249609984,3.351783315187857e-05,128.4091175623543
11.10884279121165,8.742696511164666e-05,107.8059322802844
12.69582033281331,0.0001335713710735476,98.26640169474129
14.28279787441498,0.0001497321566073269,95.05636172305249
15.86977541601664,0.0001269002145444513,93.92477431095817
17.45675295761831,9.546461072689711e-05,88.4977125987882
19.04373049921997,7.139141076866712e-05,82.39609273158308
20.63070804082163,4.602751628071165e-05,91.22291887598892
22.2176855824233,3.674390397412023e-05,129.7857901585827
23.80466312402496,4.836796543381534e-05,164.0860552048489
25.39164066562662,5.956486777584488e-05,12.68984437811527
26.97861820722829,5.841905574185144e-05,24.25856140548078
28.56559574882995,3.43879854710479e-05,5.799322325221396
30.15257329043162,1.505759251675032e-05,122.0365670261586
31.73955083203328,2.364245259261174e-05,54.69055009636548
33.32652837363494,4.080688352670734e-05,50.43685267048009
34.91350591523661,3.781439977706638e-05,50.07532641987556
36.50048345683827,9.34636064752279e-06,31.03032687028837
38.08746099843994,2.431236658182559e-05,62.03062575548055
39.6744385400416,6.320297872743603e-05,53.62433260862296
41.26141608164326,0.0001023535336249848,55.14089598383396
42.84839362324493,0.0001094983209889356,60.54471676241348
44.43537116484659,0.0001950277199916793,174.2879030795929
46.02234870644826,0.001110175962236888,148.6647469578503
47.60932624804992,0.002382039983387053,145.6672337135753
49.19630378965159,0.00281439684814998,144.9437064217601
50.78328133125325,0.002803417469332495,144.7084677903612
52.37025887285491,0.002364741185626422,144.7132214583492
53.95723641445657,0.001088771742944201,145.4462744185696
55.54421395605824,0.0001489886496970821,150.7305923764204
57.13119149765991,2.329673229458859e-05,111.325848298543
58.71816903926157,1.757436197054737e-05,23.43166114678529
60.30514658086324,2.914091849537131e-05,143.6468705981603
61.8921241224649,3.509569342732831e-05,133.5052136391452
63.47910166406656,2.902762603690336e-05,162.0123766349859
65.06607920566823,2.120505725355684e-05,171.2577164599511
66.65305674726989,1.908489500361269e-05,138.2117397238059
68.24003428887156,1.17116198512588e-05,95.66625038214033
69.82701183047323,2.696457764516408e-05,14.87602963163561
71.41398937207488,6.174944957712048e-05,9.22479126989192
73.00096691367655,8.549769986875929e-05,2.58283951619308
74.5879444552782,7.222137054463129e-05,0.1919022313238208
76.17492199687987,4.212927927300014e-05,32.60113225321681
77.76189953848154,4.708846333835754e-05,92.04025063468788
79.3488770800832,5.199684089956224e-05,125.9950547352372
80.93585462168487,3.348734432475415e-05,157.446528719414
82.52283216328652,9.141202766537667e-06,40.02628488025522
84.10980970488819,3.301744778943808e-05,173.0424550738875
85.69678724648986,6.423278320378113e-05,10.32150837184527
87.28376478809152,8.394348350837892e-05,42.26227536561414
88.87074232969319,0.0001098017260376252,56.37233535360792
90.45771987129486,9.604799228492473e-05,53.99474998437153
92.04469741289651,5.220134727641098e-05,56.71978371993693
93.63167495449818,2.92506044301562e-05,42.35235504474492
95.21865249609985,0.0003886886235346843,50.22193889729598
96.8056300377015,0.001400371825190019,52.55358604163326
98.39260757930317,0.002143602236120629,52.94283193832733
99.97958512090483,0.002231283796350009,52.84364780237834
101.5665626625065,0.002171644604768521,52.64814749065028
103.1535402041082,0.001466616048183737,52.48654657057881
104.7405177457098,0.0004394763705882215,53.42015863974766
106.3274952873115,4.719751340929774e-05,96.38025298526114
107.9144728289131,6.750741602321465e-05,141.7768226191938
109.5014503705148,8.651812840948175e-05,152.8981117133887
111.0884279121165,7.787937118786807e-05,170.9953662024996
112.6754054537181,6.540386798364302e-05,23.07948242558277
114.2623829953198,5.257862740917772e-05,60.56258292342279
115.8493605369215,3.409665334526434e-05,90.6098806564371
117.4363380785231,7.801854909963363e-06,18.75669818989339
119.0233156201248,3.699199280654619e-05,56.52401640231221
120.6102931617265,3.887590381916754e-05,35.90091050061444
122.1972707033281,3.061034404579282e-05,163.8064487538998
123.7842482449298,4.826518475234778e-05,115.5438283486447
125.3712257865315,6.868167686172641e-05,103.5098638043702
126.9582033281331,5.777010648539585e-05,109.7751193891194
128.5451808697348,2.889005034084944e-05,132.209750256186
130.1321584113365,2.963725092374665e-05,170.5446737799559
131.7191359529381,4.728062787702477e-05,173.3944017586407
133.3061134945398,4.674283724824357e-05,166.8897080705804
134.8930910361414,3.628926812981182e-05,152.2294163381869
136.4800685777431,1.942797557612537e-05,101.5605853801163
138.0670461193448,3.894037973426795e-05,28.15782879523359
139.6540236609465,6.73699717091673e-05,19.3150143160204
141.2410012025481,0.0001033323878870251,29.79554786310125
142.8279787441498,0.0001514634659467718,43.11916861980027
144.4149562857514,0.000168354616316112,49.20194276673585
146.0019338273531,0.0001030610285814051,38.33064375386861
147.5889113689548,6.838263347595013e-05,134.3393463263754
149.1758889105564,0.0001153602825590337,105.9820206648121
150.7628664521581,0.0001522900293055831,96.14187148052525
152.3498439937597,0.0001551915581339245,90.54901282777969
153.9368215353614,8.732183851578922e-05,86.53420968601183
155.5237990769631,4.896655235765333e-05,78.31242007442756
157.1107766185647,5.090457549467179e-05,74.43004884727259
158.6977541601664,5.171425842016555e-05,77.72173855908103
160.2847317017681,4.255782610046723e-05,116.2326904475556
161.8717092433697,4.742247094240314e-05,0.3623696616758658
163.4586867849714,3.943385367930853e-05,21.81013218609065
165.045664326573,2.414205919953261e-05,109.830203855989
166.6326418681747,7.30428463500915e-05,70.68674699395972
168.2196194097764,0.0001095556013892902,65.47919078554067
169.8065969513781,0.0001074110348107339,75.18052316433983
171.3935744929797,6.285098077454674e-05,103.8308727383976
172.9805520345814,4.607653017697713e-05,19.99219343870739
174.567529576183,9.719040317890684e-05,65.48021756450062
176.1545071177847,0.0001291853876911519,80.90349477558998
177.7414846593864,0.0001285324069676952,89.87179967330005
179.328462200988,0.0001058967223610152,103.7707367393863
180.9154397425897,8.142787667972602e-05,127.4585766409699
182.5024172841914,7.311783187520774e-05,152.638476782808
